Title,Price,No. Reviews,Display size,Storage type,CPU Speed,RAM,Rating
"Laptop 15.6 inch, 1920x1080HD display, Intel J4115 CPU. 8GB RAM，256GB SSD，Windows 10pro（gray）",359.0,37,15.6 in,SSD,1.8 MHz,8 GB,3.7 out of 5 stars
"Jumper Laptop with Microsoft Office 365, 13.3 inch FHD Windows 10 Computer 4GB RAM 64GB eMMC , Dual-band WiFi, USB3.0,PC Support 256GB TF card and 1TB SSD Expansion",269.99,64,13.3 in,eMMC,1.1 GHz,4 GB,4.3 out of 5 stars
"ASUS TUF FA506 144Hz Full HD 15.6"" Gaming Laptop (AMD Ryzen 7-4800H, Nvidia GeForce RTX 2060 Graphics, 8GB RAM, 256GB PCIe SSD, Windows 10), Black",899.99,124,15.6 in,Flash Memory Solid State,2.9 GHz,8 GB,4.4 out of 5 stars
"ASUS 15.6"" ChromeBook C523NA (Intel Celeron N3350, 4 GB RAM, 64 GB eMMC, Chrome OS)",248.0,"2,677",15.6 in,Mechanical Hard Drive,1.1 GHz,4 GB,4.4 out of 5 stars
"ASUS VivoBook M712DA 17.3 inch Full HD Laptop (AMD Ryzen 3, 8GB RAM, 1TB HDD, Backlit Keyboard, Windows 10) Includes Wired Mouse and Carry Bag",469.99,84,17.3 in,HDD,2.6 GHz,8 GB,4.3 out of 5 stars
"14.1"" Full HD Windows 10 Professional Slim n Light Laptop, Revolutionary Design - 4GB RAM, 64GB Storage S14+ Model Lapbook, Intel Celeron, USB 3.0, 5GHz WIFI, Expandable Storage",259.95,284,14.1 in,SSD,1.1 GHz,4 GB,4.2 out of 5 stars
"Lenovo IdeaPad 3 17.3 Inch HD+ Laptop - (Intel Pentium Gold, 4 GB RAM, 1 TB HDD, Windows 10 S Mode) - Platinum Grey",449.99,80,17.3 in,Mechanical Hard Drive,2.4 GHz,4 GB,4.0 out of 5 stars
"HP EliteBook 840 G3 14 inches HD Ultrabook Core i5 6200U up to 2.8GHz, 8GB RAM, 256GB SSD, Wireless 11ac & Bluetooth 4.2, Windows 10 Pro - Plain non-HP OEM Packed - UK keyboard Layout (Renewed)",430.0,94,14 in,SSD,2.8 GHz,8 GB,4.3 out of 5 stars
"[Combo Pack] Simbans TangoTab 10 Inch Tablet with Keyboard 2-in-1 Laptop, 4GB RAM, 64 GB Storage, Android 10, Mini HDMI, Micro-USB - TX4L",159.94,239,10.1 in,USB,2 GHz,4 GB,3.9 out of 5 stars
"LENOVO IdeaPad 1 14"" Laptop AMD 3020e 64GB eMMC 4GB RAM - Ice Blue",299.0,53,14 in,eMMC,1.2 GHz,4 GB,4.3 out of 5 stars
